IP:PORT, LOSS, DELAY
188.114.96.53:500,0.00%,385 ms
188.114.96.53:891,0.00%,386 ms
188.114.96.68:891,0.00%,409 ms
188.114.96.73:500,0.00%,429 ms
188.114.96.87:500,0.00%,441 ms
188.114.97.105:500,0.00%,455 ms
188.114.97.114:500,0.00%,477 ms
188.114.97.120:891,0.00%,478 ms
188.114.97.125:891,0.00%,526 ms
188.114.97.194:500,0.00%,533 ms
188.114.97.125:500,0.00%,545 ms
188.114.97.172:891,0.00%,547 ms
188.114.97.194:891,0.00%,554 ms
188.114.97.238:891,0.00%,563 ms
188.114.97.229:891,0.00%,580 ms
162.159.195.180:891,0.00%,596 ms
162.159.195.162:891,0.00%,597 ms
188.114.97.244:891,0.00%,615 ms
188.114.97.244:500,0.00%,632 ms
188.114.97.27:891,0.00%,641 ms
162.159.195.185:891,0.00%,646 ms
162.159.195.185:500,0.00%,652 ms
162.159.195.226:500,0.00%,673 ms
162.159.195.240:891,0.00%,677 ms
188.114.97.37:500,0.00%,679 ms
188.114.97.40:891,0.00%,691 ms
162.159.195.240:500,0.00%,702 ms
188.114.97.96:500,0.00%,708 ms
188.114.97.90:500,0.00%,708 ms
162.159.195.25:891,0.00%,711 ms
188.114.97.96:891,0.00%,716 ms
188.114.98.139:891,0.00%,725 ms
162.159.195.58:891,0.00%,731 ms
162.159.204.26:500,0.00%,746 ms
188.114.98.154:891,0.00%,749 ms
162.159.204.34:500,0.00%,751 ms
188.114.98.154:500,0.00%,751 ms
162.159.204.33:500,0.00%,757 ms
162.159.195.81:500,0.00%,761 ms
162.159.195.81:891,0.00%,766 ms
162.159.204.200:500,0.00%,766 ms
162.159.195.91:891,0.00%,767 ms
188.114.98.175:500,0.00%,801 ms
162.159.204.186:500,0.00%,807 ms
188.114.98.229:891,0.00%,817 ms
188.114.99.108:500,0.00%,821 ms
188.114.98.229:500,0.00%,822 ms
188.114.98.55:500,0.00%,828 ms
188.114.98.23:891,0.00%,829 ms
188.114.99.30:500,0.00%,829 ms
188.114.99.211:500,0.00%,832 ms
188.114.99.212:891,0.00%,832 ms
188.114.96.107:500,0.00%,841 ms
188.114.99.138:891,0.00%,842 ms
188.114.96.170:500,0.00%,843 ms
188.114.99.149:500,0.00%,843 ms
188.114.99.251:500,0.00%,844 ms
188.114.98.56:500,0.00%,845 ms
188.114.99.138:500,0.00%,845 ms
188.114.99.241:500,0.00%,846 ms
188.114.96.111:500,0.00%,846 ms
188.114.98.51:891,0.00%,847 ms
188.114.99.197:500,0.00%,850 ms
188.114.98.27:500,0.00%,851 ms
188.114.96.107:891,0.00%,853 ms
188.114.96.121:891,0.00%,854 ms
188.114.99.251:891,0.00%,854 ms
188.114.99.5:500,0.00%,854 ms
188.114.99.5:891,0.00%,855 ms
188.114.98.236:891,0.00%,857 ms
188.114.99.197:891,0.00%,861 ms
188.114.99.52:891,0.00%,861 ms
188.114.96.110:500,0.00%,862 ms
188.114.99.220:500,0.00%,862 ms
188.114.96.121:500,0.00%,864 ms
188.114.99.52:500,0.00%,868 ms
188.114.99.212:500,0.00%,869 ms
188.114.99.125:500,0.00%,869 ms
